model,group_key,group_name,label,support,precision,recall,f1
frozen,framework,dep,attribution,142,0.5813953488372093,0.176056338028169,0.2702702702702703
frozen,framework,dep,causal,47,0.0,0.0,0.0
frozen,framework,dep,comment,190,0.5,0.005263157894736842,0.010416666666666666
frozen,framework,dep,concession,23,0.0,0.0,0.0
frozen,framework,dep,condition,34,0.0,0.0,0.0
frozen,framework,dep,conjunction,187,0.2,0.03208556149732621,0.055299539170506916
frozen,framework,dep,contrast,78,0.0,0.0,0.0
frozen,framework,dep,elaboration,868,0.42036944583125313,0.9700460829493087,0.5865552072448624
frozen,framework,dep,explanation,28,0.0,0.0,0.0
frozen,framework,dep,frame,170,0.0,0.0,0.0
frozen,framework,dep,mode,125,0.0,0.0,0.0
frozen,framework,dep,organization,52,0.0,0.0,0.0
frozen,framework,dep,purpose,149,0.25806451612903225,0.053691275167785234,0.08888888888888889
frozen,framework,dep,temporal,24,0.3333333333333333,0.041666666666666664,0.07407407407407407
frozen,framework,pdtb,alternation,23,0.25,0.043478260869565216,0.07407407407407407
frozen,framework,pdtb,attribution,0,0.0,0.0,0.0
frozen,framework,pdtb,causal,225,0.22033898305084745,0.057777777777777775,0.09154929577464789
frozen,framework,pdtb,comment,0,0.0,0.0,0.0
frozen,framework,pdtb,concession,102,0.14285714285714285,0.00980392156862745,0.01834862385321101
frozen,framework,pdtb,condition,79,0.5555555555555556,0.06329113924050633,0.11363636363636363
frozen,framework,pdtb,conjunction,365,0.29635499207606975,0.5123287671232877,0.3755020080321285
frozen,framework,pdtb,contrast,75,0.14285714285714285,0.02666666666666667,0.0449438202247191
frozen,framework,pdtb,elaboration,134,0.12176165803108809,0.35074626865671643,0.18076923076923077
frozen,framework,pdtb,expansion.level-of-detail.arg2-as-detail,1,0.0,0.0,0.0
frozen,framework,pdtb,mode,41,0.0,0.0,0.0
frozen,framework,pdtb,organization,3,0.0,0.0,0.0
frozen,framework,pdtb,purpose,86,0.8,0.046511627906976744,0.08791208791208792
frozen,framework,pdtb,query,39,0.058823529411764705,0.02564102564102564,0.03571428571428571
frozen,framework,pdtb,reformulation,75,0.35135135135135137,0.17333333333333334,0.23214285714285715
frozen,framework,pdtb,temporal,220,0.4,0.5181818181818182,0.4514851485148515
frozen,framework,rst,adversative-contrast,1,0.0,0.0,0.0
frozen,framework,rst,alternation,36,0.17647058823529413,0.08333333333333333,0.11320754716981132
frozen,framework,rst,attribution,259,0.2967741935483871,0.1776061776061776,0.2222222222222222
frozen,framework,rst,causal,207,0.13636363636363635,0.014492753623188406,0.026200873362445413
frozen,framework,rst,comment,179,0.16,0.0223463687150838,0.0392156862745098
frozen,framework,rst,concession,149,0.2727272727272727,0.020134228187919462,0.0375
frozen,framework,rst,condition,103,0.2,0.02912621359223301,0.05084745762711865
frozen,framework,rst,conjunction,681,0.20794774088187262,0.5609397944199707,0.3034154090548054
frozen,framework,rst,context-background,1,0.0,0.0,0.0
frozen,framework,rst,contrast,236,0.06666666666666667,0.00423728813559322,0.00796812749003984
frozen,framework,rst,elaboration,1037,0.3124300111982083,0.5380906460945034,0.3953241232731137
frozen,framework,rst,elaboration-additional,1,0.0,0.0,0.0
frozen,framework,rst,elaboration-attribute,2,0.0,0.0,0.0
frozen,framework,rst,explanation,301,0.0,0.0,0.0
frozen,framework,rst,frame,237,0.0,0.0,0.0
frozen,framework,rst,mode,89,0.0,0.0,0.0
frozen,framework,rst,organization,262,0.42857142857142855,0.011450381679389313,0.022304832713754646
frozen,framework,rst,purpose,148,0.6,0.04054054054054054,0.0759493670886076
frozen,framework,rst,purpose-attribute,1,0.0,0.0,0.0
frozen,framework,rst,query,69,0.08139534883720931,0.10144927536231885,0.09032258064516129
frozen,framework,rst,reformulation,72,0.23529411764705882,0.05555555555555555,0.0898876404494382
frozen,framework,rst,temporal,356,0.3222748815165877,0.38202247191011235,0.3496143958868895
frozen,framework,sdrt,alternation,24,0.0,0.0,0.0
frozen,framework,sdrt,attribution,14,0.0,0.0,0.0
frozen,framework,sdrt,causal,61,0.0,0.0,0.0
frozen,framework,sdrt,comment,170,0.4945054945054945,0.2647058823529412,0.3448275862068966
frozen,framework,sdrt,condition,24,0.0,0.0,0.0
frozen,framework,sdrt,conjunction,252,0.2857142857142857,0.29365079365079366,0.2896281800391389
frozen,framework,sdrt,contrast,94,0.0,0.0,0.0
frozen,framework,sdrt,elaboration,285,0.35772357723577236,0.4631578947368421,0.4036697247706422
frozen,framework,sdrt,explanation,61,0.0,0.0,0.0
frozen,framework,sdrt,frame,91,0.0,0.0,0.0
frozen,framework,sdrt,purpose,20,0.0,0.0,0.0
frozen,framework,sdrt,query,552,0.5465498357064622,0.9039855072463768,0.6812286689419795
frozen,framework,sdrt,reformulation,0,0.0,0.0,0.0
frozen,framework,sdrt,temporal,87,0.21052631578947367,0.22988505747126436,0.21978021978021978
finetune,framework,dep,alternation,0,0.0,0.0,0.0
finetune,framework,dep,attribution,142,0.9266666666666666,0.9788732394366197,0.952054794520548
finetune,framework,dep,causal,47,0.2857142857142857,0.46808510638297873,0.3548387096774194
finetune,framework,dep,comment,190,0.8111111111111111,0.7684210526315789,0.7891891891891892
finetune,framework,dep,concession,23,0.3170731707317073,0.5652173913043478,0.40625
finetune,framework,dep,condition,34,0.9375,0.4411764705882353,0.6
finetune,framework,dep,conjunction,187,0.7535545023696683,0.8502673796791443,0.7989949748743719
finetune,framework,dep,contrast,78,0.6617647058823529,0.5769230769230769,0.6164383561643836
finetune,framework,dep,elaboration,868,0.8411764705882353,0.8237327188940092,0.8323632130384168
finetune,framework,dep,explanation,28,0.5,0.35714285714285715,0.4166666666666667
finetune,framework,dep,frame,170,0.7944444444444444,0.8411764705882353,0.8171428571428572
finetune,framework,dep,mode,125,0.8181818181818182,0.792,0.8048780487804879
finetune,framework,dep,organization,52,0.0,0.0,0.0
finetune,framework,dep,purpose,149,0.7682926829268293,0.8456375838926175,0.805111821086262
finetune,framework,dep,reformulation,0,0.0,0.0,0.0
finetune,framework,dep,temporal,24,0.6666666666666666,0.9166666666666666,0.7719298245614035
