unit1_txt	unit2_txt	dir	rel_type	orig_label	label
针对 维吾尔 语零 指代 现象 ,	提出 采用 栈式 降噪 自编码 的 深度 学习 机制 进行 维吾尔 语零 指代 消解 。	1>2	unknown	bg-general	frame
提出 采用 栈式 降噪 自编码 的 深度 学习 机制 进行 维吾尔 语零 指代 消解 。	首先 由 大 规模 无 标注 维吾尔 语 语料 训练	1<2	unknown	elab-process_step	elaboration
首先 由 大 规模 无 标注 维吾尔 语 语料 训练	得到 富含 语义 和 句法 信息 的 词 嵌入 表示 ,	1<2	unknown	enablement	purpose
得到 富含 语义 和 句法 信息 的 词 嵌入 表示 ,	将 其 作 为 候选 先行 语 和 缺省 零代 词 的 语义 特征 ;	1<2	unknown	elab-addition	elaboration
其次 根据 维吾尔 语 语言 特点 ,	抽取 14 项 针对 零 指代 消解 任务 的 手工 设计 特征 ;	1>2	unknown	bg-general	frame
首先 由 大 规模 无 标注 维吾尔 语 语料 训练	抽取 14 项 针对 零 指代 消解 任务 的 手工 设计 特征 ;	1<2	unknown	joint	conjunction
抽取 14 项 针对 零 指代 消解 任务 的 手工 设计 特征 ;	然后 融合 word embedding 特征 和 14 项 hand-crafted 特征 作 为 栈式 降噪 自编 码 的 输入 ,	1<2	unknown	joint	conjunction
然后 融合 word embedding 特征 和 14 项 hand-crafted 特征 作 为 栈式 降噪 自编 码 的 输入 ,	最后 经过 无 监督 逐层 贪婪 的 预训练 和 有 监督 的 微调 过程 ,	1<2	unknown	joint	conjunction
最后 经过 无 监督 逐层 贪婪 的 预训练 和 有 监督 的 微调 过程 ,	使用 sof tmax 进行 分类 完成 维吾尔 语 零 指代 消解 任务 。	1<2	unknown	joint	conjunction
实验 结果 表明 ,	栈式 降噪 自编 码 的 F值 分 别提 高 了 4.450% 、 10.032% 和 8.140% ,	1>2	unknown	attribution	attribution
与 传统 栈式 自编 码 、 浅层 机器 学习 的 支持 向量 机 和 人工 神经 网络 相比 ,	栈式 降噪 自编 码 的 F值 分 别提 高 了 4.450% 、 10.032% 和 8.140% ,	1>2	unknown	comparison	concession
提出 采用 栈式 降噪 自编码 的 深度 学习 机制 进行 维吾尔 语零 指代 消解 。	栈式 降噪 自编 码 的 F值 分 别提 高 了 4.450% 、 10.032% 和 8.140% ,	1<2	unknown	evaluation	comment
栈式 降噪 自编 码 的 F值 分 别提 高 了 4.450% 、 10.032% 和 8.140% ,	实验 结果 验证 了 该 方法 的 有效 性 及 栈式 降噪 自编 码 在 任务 中 具备 挖掘 高 层 面 鲁棒 性 语义 特征 的 优势 。	1<2	unknown	elab-addition	elaboration
该文 将 行业 政策 形式 化 为 一 个 由 微观 、 中观 和 宏观 政策 血缘 网络 构成 的 复杂 网络 体系 。	分别 通过 改进 的 基 于 语义 的 政策 词语 相似 度 计算 方法 、 依 存句 分析 和 基 于 向量 空间 模型 的 方法 构建 了 微观 、 中观 及 宏观 的 政策 血缘 网络 。	1<2	unknown	elab-addition	elaboration
在 此 基础 上 ,	该文 对 政策 血缘 网络 进行 了 层次 结构 演化 和 碎片 清理 ,	1>2	unknown	bg-general	frame
分别 通过 改进 的 基 于 语义 的 政策 词语 相似 度 计算 方法 、 依 存句 分析 和 基 于 向量 空间 模型 的 方法 构建 了 微观 、 中观 及 宏观 的 政策 血缘 网络 。	该文 对 政策 血缘 网络 进行 了 层次 结构 演化 和 碎片 清理 ,	1<2	unknown	progression	organization
该文 对 政策 血缘 网络 进行 了 层次 结构 演化 和 碎片 清理 ,	构建 了 政策 血缘 森林 并 提出 基 于 政策 血缘 森林 的 政策 碎片 化 预防 的 方法 。	1<2	unknown	joint	conjunction
