unit1_txt	unit2_txt	dir	rel_type	orig_label	label
la intranet è cambiata	ci sono diverse diciamo modifiche nel nelle interfacce	1<2	implicit	expansion.restatement.specification	reformulation
qua ci ci sono dei problemi	nel senso che <*> sono finito in un ufficio d' appoggio e adesso il mio computer e ho avuto problemi già a recuperarlo e farlo risistemare però ho problemi ha collegarlo e gli sto usando il PC di un collega	1<2	explicit	expansion.restatement.specification	reformulation
dopo <*> sono finito in un ufficio d' appoggio	essere rientrato da questa <*> aspettativa	1>2	explicit	temporal.asynchronous	temporal
siccome qua siamo ci siamo riorganizzando	sono finito in un ufficio d' appoggio	1>2	explicit	contingency.cause	causal
sono finito in un ufficio d' appoggio	e adesso il mio computer e ho avuto problemi già a recuperarlo e farlo risistemare	1<2	explicit	expansion.conjunction	conjunction
ho avuto problemi già a recuperarlo e farlo risistemare	però ho problemi ha collegarlo	1<2	explicit	comparison.concession	concession
ho problemi ha collegarlo e	gli sto usando il PC di un collega	1>2	explicit	contingency.cause	causal
comunque io gli estremi della mia macchina gliele do	giusto per almeno fare riferimento a una macchina	1<2	explicit	contingency.goal	purpose
insomma utilizzi quella di un collega	non è un problema	1<2	implicit	contingency.cause	causal
insomma utilizzi quella di un collega	mi dia soltanto l' RWS dellaì sua sì	1<2	implicit	comparison.contrast	contrast
mi dia soltanto l' RWS dellaì sua sì	tanto per l' intervento non ci interessa particolarmente	1<2	explicit	comparison.concession	concession
tanto per l' intervento non ci interessa particolarmente <*> il numero della macchina	però devo compilarlo per la richiesta	1<2	explicit	comparison.contrast	contrast
non ciò una borchia <*> poter attaccare il computer	sto usando quella dei colleghi	1>2	explicit	contingency.cause	causal
anche questo non è attivo	le lascio un cellulare	1>2	implicit	contingency.cause	causal
anche questo non è attivo quindi	possiamo contattarla al	1>2	explicit	contingency.cause	causal
anche questo non è attivo	sto aspettando che me l' attivino	1<2	implicit	expansion.conjunction	conjunction
io le lascio il numero di richiesta	giro la chiamata ai colleghi delle abilitazioni	1<2	implicit	temporal.synchrony	temporal
giro la chiamata ai colleghi delle abilitazioni	loro invieranno il codice PIN al suo referente	1<2	implicit	temporal.asynchronous	temporal
