corpus,framework,language,label,model,precision,recall,f1,support
eng.dep.scidtb,dep,eng,alternation,Qwen3 finetune,0.0,0.0,0.0,0
eng.dep.scidtb,dep,eng,attribution,Qwen3 finetune,0.8832116788321168,0.9307692307692308,0.9063670411985019,130
eng.dep.scidtb,dep,eng,causal,Qwen3 finetune,0.30434782608695654,0.17073170731707318,0.21875,41
eng.dep.scidtb,dep,eng,comment,Qwen3 finetune,0.6054421768707483,0.5028248587570622,0.5493827160493827,177
eng.dep.scidtb,dep,eng,concession,Qwen3 finetune,0.05714285714285714,0.09523809523809523,0.07142857142857142,21
eng.dep.scidtb,dep,eng,condition,Qwen3 finetune,0.8333333333333334,0.15151515151515152,0.2564102564102564,33
eng.dep.scidtb,dep,eng,conjunction,Qwen3 finetune,0.6722222222222223,0.7806451612903226,0.7223880597014926,155
eng.dep.scidtb,dep,eng,contrast,Qwen3 finetune,0.6595744680851063,0.43661971830985913,0.5254237288135594,71
eng.dep.scidtb,dep,eng,elaboration,Qwen3 finetune,0.7061356297093649,0.830379746835443,0.7632344386271088,790
eng.dep.scidtb,dep,eng,explanation,Qwen3 finetune,0.14285714285714285,0.037037037037037035,0.058823529411764705,27
eng.dep.scidtb,dep,eng,frame,Qwen3 finetune,0.6981132075471698,0.5323741007194245,0.6040816326530613,139
eng.dep.scidtb,dep,eng,mode,Qwen3 finetune,0.7523809523809524,0.6528925619834711,0.6991150442477876,121
eng.dep.scidtb,dep,eng,organization,Qwen3 finetune,0.0,0.0,0.0,48
eng.dep.scidtb,dep,eng,purpose,Qwen3 finetune,0.7448275862068966,0.8571428571428571,0.7970479704797048,126
eng.dep.scidtb,dep,eng,query,Qwen3 finetune,0.0,0.0,0.0,0
eng.dep.scidtb,dep,eng,temporal,Qwen3 finetune,0.43333333333333335,0.5652173913043478,0.49056603773584906,23
eng.dep.scidtb,dep,eng,alternation,XLMR finetune,0.0,0.0,0.0,0
eng.dep.scidtb,dep,eng,attribution,XLMR finetune,0.9280575539568345,0.9923076923076923,0.9591078066914498,130
eng.dep.scidtb,dep,eng,causal,XLMR finetune,0.2711864406779661,0.3902439024390244,0.32,41
eng.dep.scidtb,dep,eng,comment,XLMR finetune,0.7704918032786885,0.7966101694915254,0.7833333333333333,177
eng.dep.scidtb,dep,eng,concession,XLMR finetune,0.2682926829268293,0.5238095238095238,0.3548387096774194,21
eng.dep.scidtb,dep,eng,condition,XLMR finetune,0.9444444444444444,0.5151515151515151,0.6666666666666666,33
eng.dep.scidtb,dep,eng,conjunction,XLMR finetune,0.757396449704142,0.8258064516129032,0.7901234567901234,155
eng.dep.scidtb,dep,eng,contrast,XLMR finetune,0.673469387755102,0.4647887323943662,0.55,71
eng.dep.scidtb,dep,eng,elaboration,XLMR finetune,0.8518041237113402,0.8367088607594937,0.8441890166028098,790
