unit1_txt	unit2_txt	dir	rel_type	orig_label	label
ello	Just got a connection reset	1>2	unknown	Continuation	conjunction
Just got a connection reset	Hm, shouldn't happen	1>2	unknown	Explanation	explanation
Hm, shouldn't happen	(and hasn't before).	1>2	unknown	Background	frame
Hm, shouldn't happen	Let me know if you have problems.	1>2	unknown	Continuation	conjunction
Let me know if you have problems.	Got a SocketException error appear in this chat line	1>2	unknown	Question_answer_pair	query
Got a SocketException error appear in this chat line	I guess we'll see if it happens again	1>2	unknown	Comment	comment
Yes,	I take it this is the right game to be in?	1>2	unknown	Clarification_question	query
Yes,	fingers crossed.	1>2	unknown	Comment	comment
I take it this is the right game to be in?	Yes,	1>2	unknown	Question_answer_pair	query
Yes,	I don't know where the other two are.	1>2	unknown	Contrast	contrast
Yes,	Excellent!	1>2	unknown	Acknowledgement	query
I don't know where the other two are.	Ahh! I see.	1>2	unknown	Question_answer_pair	query
I don't know where the other two are.	It's been very last minute ...	1>2	unknown	Comment	comment
It's been very last minute ...	Yeah,	1>2	unknown	Comment	comment
Excellent!	Yeah,	1>2	unknown	Continuation	conjunction
Yeah,	well it always feels last minute when you are getting participants, doesn't it?	1>2	unknown	Continuation	conjunction
Hehe, yes.	So, does this generate a random Catan board?	1>2	unknown	Clarification_question	query
Hehe, yes.	Perhaps they're still in a lecture.	1>2	unknown	Explanation	explanation
So, does this generate a random Catan board?	Yes.	1>2	unknown	Question_answer_pair	query
Yes.	I'm still rather impressed at a Hex grid in Java to be honest...	1>2	unknown	Comment	comment
I'm still rather impressed at a Hex grid in Java to be honest...	Java layout always feels like a nig	1>2	unknown	Explanation	explanation
Java layout always feels like a nig	*nightmare	1>2	unknown	Correction	contrast
Indeed;	I had the pleasure editing the source code of this application.	1>2	unknown	Explanation	explanation
I had the pleasure editing the source code of this application.	Ah. Fun I take it?	1>2	unknown	Clarification_question	query
Ah. Fun I take it?	Still, it looks very nicely laid out to be honest.	1>2	unknown	Contrast	contrast
Ah. Fun I take it?	Well, it's an open source projet,	1>2	unknown	Question_answer_pair	query
Well, it's an open source projet,	so it's OK.	1>2	unknown	Result	causal
so it's OK.	But I had to dig deeper than I wanted.	1>2	unknown	Result	causal
But I had to dig deeper than I wanted.	:*)	1>2	unknown	Comment	comment
Ahh! I see.	One more to go, I guess.	1>2	unknown	Comment	comment
One more to go, I guess.	hi	1>2	unknown	Continuation	conjunction
One more to go, I guess.	Yes,	1>2	unknown	Acknowledgement	query
Yes,	it's supposed to be three of you.	1>2	unknown	Elaboration	elaboration
it's supposed to be three of you.	Hm, how are you two for time?	1>2	unknown	Clarification_question	query
Hm, how are you two for time?	Can we wait a bit longer?	1>2	unknown	Clarification_question	query
Can we wait a bit longer?	I'm good for a little bit longer.	1>2	unknown	Question_answer_pair	query
Can we wait a bit longer?	I don't mind waiting for a while.	1>2	unknown	Question_answer_pair	query
I'm good for a little bit longer.	Great.	1>2	unknown	Acknowledgement	query
I don't mind waiting for a while.	Great.	1>2	unknown	Acknowledgement	query
Great.	I guess if person number 3 doesn't show up in 5 or 10 minutes	1>2	unknown	Contrast	contrast
I guess if person number 3 doesn't show up in 5 or 10 minutes	it'll be you only you two anywa	1>2	unknown	Conditional	condition
it'll be you only you two anywa	y.	1>2	unknown	Continuation	conjunction
hi	Ah, great.	1>2	unknown	Acknowledgement	query
Ah, great.	We can start.	1>2	unknown	Result	causal
We can start.	Sombody has to click START GAME.	1>2	unknown	Elaboration	elaboration
Sombody has to click START GAME.	Amd and off you go!	1>2	unknown	Narration	temporal
Yeah,	Hehe, yes.	1>2	unknown	Question_answer_pair	query
Java layout always feels like a nig	Indeed;	1>2	unknown	Acknowledgement	query
Got a SocketException error appear in this chat line	Yes,	1>2	unknown	Acknowledgement	query
so anyone else played this before?	I haven't, no	1>2	unknown	Question_answer_pair	query
so anyone else played this before?	Yes, a little...	1>2	unknown	Question_answer_pair	query
so anyone else played this before?	is it still your turn rennoc?	1>2	unknown	Correction	contrast
Yes, a little...	but I was never good at it.	1>2	unknown	Contrast	contrast
is it still your turn rennoc?	yeah,	1>2	unknown	Question_answer_pair	query
does anyone have any wood they would be willing to trade for?	Not	1>2	unknown	Question_answer_pair	query
Not	until people start rolling 8's :P	1>2	unknown	Elaboration	elaboration
woo	Bugger.	1>2	unknown	Comment	comment
Bugger.	Got any clay to trade for sheep/wheat?	1>2	unknown	Continuation	conjunction
Got any clay to trade for sheep/wheat?	Only got 1	1>2	unknown	Question_answer_pair	query
Got any clay to trade for sheep/wheat?	got some clay.	1>2	unknown	Question_answer_pair	query
Only got 1	and I'm holding on to it,	1>2	unknown	Continuation	conjunction
and I'm holding on to it,	sorry.	1>2	unknown	Comment	comment
Also: Rennoc - be careful holding lots of resources.	If someone rolls a 7,	1>2	unknown	Explanation	explanation
If someone rolls a 7,	I think, you lose cards	1>2	unknown	Conditional	condition
got some clay.	how many do you need	1>2	unknown	Clarification_question	query
Yeah,	that's the robber isn'tit	1>2	unknown	Elaboration	elaboration
Well, what would you like for clay	and/or how many do you want to give?	1>2	unknown	Continuation	conjunction
could do with some ore or sheep	rennoc: Sheep for an ore?	1>2	unknown	Q_Elab	query
could do with some ore or sheep	While we're talking about trading,	1>2	unknown	Parallel	conjunction
While we're talking about trading,	does anyone have sheep	1>2	unknown	Background	frame
Yeah,	on a 7 anyone with lots of cards gets halved	1>2	unknown	Elaboration	elaboration
on a 7 anyone with lots of cards gets halved	and the robber gets moved.	1>2	unknown	Continuation	conjunction
I have sheep, yes.	Need ore or wheat?	1>2	unknown	Q_Elab	query
Need ore or wheat?	Sheep for an ore and sheep for a clay?	1>2	unknown	Q_Elab	query
Sheep for an ore and sheep for a clay?	sure	1>2	unknown	Acknowledgement	query
sure	soo... how do we do this?	1>2	unknown	Continuation	conjunction
soo... how do we do this?	ok,	1>2	unknown	Acknowledgement	query
soo... how do we do this?	I THINK	1>2	unknown	Question_answer_pair	query
ok,	I THINK	1>2	unknown	Elaboration	elaboration
I THINK	click register a trade	1>2	unknown	Continuation	conjunction
click register a trade	then I'm not sure	1>2	unknown	Narration	temporal
so I give a sheep to red,	I get an ore, right?	1>2	unknown	Result	causal
yup	Did that work?	1>2	unknown	Clarification_question	query
Did that work?	it did, yeah	1>2	unknown	Question_answer_pair	query
it did, yeah	thanks	1>2	unknown	Continuation	conjunction
rennoc: Sheep for an ore?	I dont have any ore,	1>2	unknown	Question_answer_pair	query
I dont have any ore,	but i do have plenty clay	1>2	unknown	Contrast	contrast
Is there a reason I can't buy a settlement now?	I have the resources	1>2	unknown	Explanation	explanation
Bah, that's what I meant,	sorry.	1>2	unknown	Comment	comment
You have to do it on your go	yes	1>2	unknown	Acknowledgement	query
ok	how do I accept a trade	1>2	unknown	Continuation	conjunction
yes	but the road and card options have a greyed out buy option,	1>2	unknown	Contrast	contrast
but the road and card options have a greyed out buy option,	settlement is just dashes	1>2	unknown	Continuation	conjunction
also you tried to trade with me there tomm, not rennoc	ah...	1>2	unknown	Acknowledgement	query
also you tried to trade with me there tomm, not rennoc	thanks	1>2	unknown	Comment	comment
also you tried to trade with me there tomm, not rennoc	Thanks	1>2	unknown	Acknowledgement	query
Oh, you don't have anywhere you can BUILD a settlement	they have to be two sides away from a settlement, connected by road	1>2	unknown	Explanation	explanation
they have to be two sides away from a settlement, connected by road	so you need to build one more segment of road first	1>2	unknown	Result	causal
oh, so I need to build a road first	yeah	1>2	unknown	Acknowledgement	query
yeah	right,	1>2	unknown	Acknowledgement	query
right,	thanks	1>2	unknown	Comment	comment
Only got 1	Also: Rennoc - be careful holding lots of resources.	1>2	unknown	Parallel	conjunction
I THINK	so I give a sheep to red,	1>2	unknown	Q_Elab	query
so I give a sheep to red,	yup	1>2	unknown	Acknowledgement	query
I dont have any ore,	Bah, that's what I meant,	1>2	unknown	Correction	contrast
I dont have any ore,	Is there a reason I can't buy a settlement now?	1>2	unknown	Q_Elab	query
Bah, that's what I meant,	ok	1>2	unknown	Acknowledgement	query
Is there a reason I can't buy a settlement now?	You have to do it on your go	1>2	unknown	Question_answer_pair	query
but the road and card options have a greyed out buy option,	Oh, you don't have anywhere you can BUILD a settlement	1>2	unknown	Explanation	explanation
but the road and card options have a greyed out buy option,	also you tried to trade with me there tomm, not rennoc	1>2	unknown	Parallel	conjunction
Oh, you don't have anywhere you can BUILD a settlement	oh, so I need to build a road first	1>2	unknown	Clarification_question	query
got some clay.	Well, what would you like for clay	1>2	unknown	Q_Elab	query
Yeah,	Yeah,	1>2	unknown	Question_answer_pair	query
Well, what would you like for clay	could do with some ore or sheep	1>2	unknown	Question_answer_pair	query
While we're talking about trading,	I have sheep, yes.	1>2	unknown	Question_answer_pair	query
Also: Rennoc - be careful holding lots of resources.	Yeah,	1>2	unknown	Acknowledgement	query
:D	Oh...	1>2	unknown	Comment	comment
:D	anyone need wheat?	1>2	unknown	Continuation	conjunction
Oh...	well that's unkind	1>2	unknown	Explanation	explanation
well that's unkind	sorry	1>2	unknown	Comment	comment
well that's unkind	Do you get a random one of my resources then?	1>2	unknown	Result	causal
sorry	It's okay,	1>2	unknown	Comment	comment
It's okay,	name of the game and all that.	1>2	unknown	Elaboration	elaboration
Do you get a random one of my resources then?	I did, yeah	1>2	unknown	Question_answer_pair	query
anyone need wheat?	no thanks	1>2	unknown	Question_answer_pair	query
