unit1_txt	unit2_txt	dir	rel_type	orig_label	label
How do people look at and experience art ?	Which elements of specific artworks do they focus on ?	1<2	implicit	expansion.conjunction	conjunction
Which elements of specific artworks do they focus on ?	Do museum labels have an impact on how people look at artworks ?	1<2	implicit	expansion.conjunction	conjunction
The viewing experience of art is a complex one , involving issues of perception , attention , memory , decision - making , affect , and emotion .	Thus , the time it takes and the ways of visually exploring an artwork can inform about its relevance , interestingness , and even its aesthetic appeal .	1<2	explicit	contingency.cause.result	causal
This paper describes a collaborative pilot project focusing on a unique collection of 17th Century Zurbarán paintings .	The Jacob cycle at Auckland Castle is the only UK example of a continental collection preserved in situ in purpose - built surroundings .	1<2	implicit	expansion.level-of-detail.arg2-as-detail	elaboration
While studies of the psychology of art have focused on individual works and distinctions between representative / non-representative topics ,	no work has been completed on the aesthetic appreciation of collections or of devotional themes .	1>2	explicit	comparison.concession.arg1-as-denier	concession
While studies of the psychology of art have focused on individual works and distinctions between representative / non-representative topics , no work has been completed on the aesthetic appreciation of collections or of devotional themes .	In this paper , we report upon the novel insights eye - tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks .	1<2	implicit	expansion.substitution.arg2-as-subst	contrast
In this paper , we report upon the novel insights eye - tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks .	The purpose of this pilot study was to assess the effects of different written interpretation on the visual exploration of artworks .	1<2	implicit	contingency.purpose.arg2-as-goal	purpose
The project brings together established research strengths in Spanish art history , experimental psychology , digital humanities , and museum studies	to explore , using eye - tracking techniques , aesthetic reactions to digital representations of the individual Zurbarán artworks as well as the significance of the collection as a whole .	1<2	implicit	contingency.purpose.arg2-as-goal	purpose
to explore , <*> aesthetic reactions to digital representations of the individual Zurbarán artworks as well as the significance of the collection as a whole .	using eye - tracking techniques ,	1>2	implicit	expansion.manner.arg1-as-manner	mode
Our experience of art develops from the interaction of several cognitive and affective processes ; the beginning of which is a visual scan of the artwork .	When regarding an artwork , a viewer gathers information through a series fixations , interspersed by rapid movements of the eye called saccades .	1<2	implicit	expansion.conjunction	conjunction
When regarding an artwork ,	a viewer gathers information through a series fixations , interspersed by rapid movements of the eye called saccades .	1<2	explicit	temporal.synchronous	temporal
When regarding an artwork , a viewer gathers information through a series fixations , interspersed by rapid movements of the eye called saccades .	The direction of saccades is determined by an interaction between the goals of the observer and the physical properties of the different elements of the scene ( e.g. colour , texture , brightness etc ) .	1<2	implicit	expansion.level-of-detail.arg2-as-detail	elaboration
Previous eye tracking research has highlighted the potential to transform the ways we understand visual processing in the arts	( see for example Brieber 2014 ; Binderman et al. , 2005 )	1<2	explicit	expansion.instantiation.arg2-as-instance	elaboration
Previous eye tracking research has highlighted the potential to transform the ways we understand visual processing in the arts ( see for example Brieber 2014 ; Binderman et al. , 2005 )	and at the same time offers a direct way of studying several important factors of a museum visit ( Filippini Fantoni et al. , 2013 ; Heidenreich & Turano 2011 ; Milekic 2010 ) .	1<2	explicit	expansion.conjunction	conjunction
Previous eye tracking research has highlighted the potential to transform the ways we understand visual processing in the arts ( see for example Brieber 2014 ; Binderman et al. , 2005 )	and at the same time offers a direct way of studying several important factors of a museum visit ( Filippini Fantoni et al. , 2013 ; Heidenreich & Turano 2011 ; Milekic 2010 ) .	1<2	explicit	temporal.synchronous	temporal
Zurbarán ’s cycle of Jacob and his Sons has been on display in the Long Room at Auckland Castle for over 250 years .	It is the only cycle to be preserved in purpose - built surroundings in the UK , and one of very few of its kind in the world .	1<2	implicit	expansion.level-of-detail.arg2-as-detail	elaboration
It has a long history in scholarship ( Baron & Beresford 2014 ) ,	but many key aspects of its production and significance have not yet been fully understood .	1<2	explicit	comparison.concession.arg2-as-denier	concession
In this study we used eye - tracking in the first stage of exploring audience experience of the extensive Spanish art collections of County Durham , of which the 13 Zurbarán artworks ( there are actually only 12 Zurbarán artworks , the 13th Benjamin , is a copy by Arthur Pond ) are a key part of ,	to investigate the ways in which audiences look at Spanish art , how aesthetic experience is evaluated and whether audiences can be encouraged to approach art in different ways .	1<2	implicit	contingency.purpose.arg2-as-goal	purpose
In this study we used eye - tracking in the first stage of exploring audience experience of the extensive Spanish art collections of County Durham , of which the 13 Zurbarán artworks ( there are actually only 12 Zurbarán artworks , the 13th Benjamin , is a copy by Arthur Pond ) are a key part of , to investigate the ways in which audiences look at Spanish art , how aesthetic experience is evaluated and whether audiences can be encouraged to approach art in different ways .	This pilot project primarily investigated how participants visually explore artworks and provides new insights into the potential eye - tracking has to transform the ways we understand visual processing in arts and culture and at the same time offer a direct way of studying several important factors of a museum visit , namely to assess the effects of label characteristics on visitor visual behaviour .	1<2	implicit	expansion.level-of-detail.arg2-as-detail	elaboration
of which the 13 Zurbarán artworks <*> are a key part of ,	( there are actually only 12 Zurbarán artworks , the 13th Benjamin , is a copy by Arthur Pond )	1>2	explicit	comparison.concession.arg1-as-denier	concession
in which audiences look at Spanish art ,	how aesthetic experience is evaluated	1<2	implicit	expansion.conjunction	conjunction
how aesthetic experience is evaluated	and whether audiences can be encouraged to approach art in different ways .	1<2	explicit	expansion.conjunction	conjunction
This pilot project primarily investigated how participants visually explore artworks	and provides new insights into the potential eye - tracking has to transform the ways we understand visual processing in arts and culture and at the same time offer a direct way of studying several important factors of a museum visit , namely to assess the effects of label characteristics on visitor visual behaviour .	1<2	explicit	expansion.conjunction	conjunction
This pilot project primarily investigated how participants visually explore artworks	and provides new insights into the potential eye - tracking has to transform the ways we understand visual processing in arts and culture and at the same time offer a direct way of studying several important factors of a museum visit , namely to assess the effects of label characteristics on visitor visual behaviour .	1<2	implicit	temporal.asynchronous.precedence	temporal
to transform the ways we understand visual processing in arts and culture	and at the same time offer a direct way of studying several important factors of a museum visit , namely to assess the effects of label characteristics on visitor visual behaviour .	1<2	explicit	expansion.conjunction	conjunction
to transform the ways we understand visual processing in arts and culture	and at the same time offer a direct way of studying several important factors of a museum visit , namely to assess the effects of label characteristics on visitor visual behaviour .	1<2	explicit	temporal.synchronous	temporal
and at the same time offer a direct way of studying several important factors of a museum visit ,	namely to assess the effects of label characteristics on visitor visual behaviour .	1<2	explicit	expansion.conjunction	conjunction
Tenured and tenure - track university faculty play a special role in determining the speed and direction of scientific progress , both directly through their research and indirectly through their training of new researchers .	Past studies establish that each of these efforts is strongly and positively influenced through various forms of faculty diversity , including ethnic , racial , and gender diversity .	1<2	implicit	expansion.conjunction	conjunction
Past studies establish that each of these efforts is strongly and positively influenced through various forms of faculty diversity , including ethnic , racial , and gender diversity .	As an example , research shows that greater diversity within a community or group can lead to improved critical thinking [ 1 ] and more creative solutions to complex tasks [ 2 , 3 ] by pairing together individuals with unique skillsets and perspectives that complement and often augment the abilities of their peers .	1<2	explicit	contingency.cause.result	causal
As an example , research shows that greater diversity within a community or group can lead to improved critical thinking [ 1 ] and more creative solutions to complex tasks [ 2 , 3 ] by pairing together individuals with unique skillsets and perspectives that complement and often augment the abilities of their peers .	Additionally , diversity has been shown to produce more supportive social climates and effective learning environments [ 4 ] , which can facilitate the mentoring of young scientists .	1<2	explicit	expansion.conjunction	conjunction
that greater diversity within a community or group can lead to improved critical thinking [ 1 ] and more creative solutions to complex tasks [ 2 , 3 ]	by pairing together individuals with unique skillsets and perspectives that complement and often augment the abilities of their peers .	1<2	explicit	expansion.manner.arg2-as-manner	mode
that greater diversity within a community or group can lead to improved critical thinking [ 1 ] and more creative solutions to complex tasks [ 2 , 3 ]	by pairing together individuals with unique skillsets and perspectives that complement and often augment the abilities of their peers .	1<2	explicit	contingency.cause.reason	causal
Measuring the composition and dynamics of a scientific workforce , particularly in a rapidly expanding field like computer science , is a crucial first step toward understanding how scholarly research is conducted and how it might be enhanced .	For many scientific fields , however , there is no central listing of all tenure - track faculty , making it difficult to define a rigorous sample frame for analysis .	1<2	explicit	comparison.contrast	contrast
