unit1_txt	unit2_txt	dir	rel_type	orig_label	label
آثار نظامیگنجوی تواناییهای منحصربهفردی دارد	و ب دین سبب است که نظامی یکی از پنج سخنسرای بزرگ ایران و یکی از سرایندگان بزرگ ادبیات جهان است .	1>2	unknown	explanation	explanation
آثار نظامیگنجوی تواناییهای منحصربهفردی دارد	که فراتر از مرزهای فرهنگیای میرود	1<2	unknown	attribution	attribution
که فراتر از مرزهای فرهنگیای میرود	که آن را تولید کرده است	1<2	unknown	elaboration	elaboration
که فراتر از مرزهای فرهنگیای میرود	و میتواند با مخاطبان مختلف در جهان با سنجهها و سلیقههای متفاوت گفتوگو کند	1<2	unknown	joint	conjunction
و ب دین سبب است که نظامی یکی از پنج سخنسرای بزرگ ایران و یکی از سرایندگان بزرگ ادبیات جهان است .	نظامی بزرگترین سراینده منظومههای عاشقانه است	1>2	unknown	background	frame
نظامی بزرگترین سراینده منظومههای عاشقانه است	و شاعری ایراندوست و ایرانستاست	1<2	unknown	joint	conjunction
و مروری بر آثاری <*> نشان میدهد	که نظامیپژوهی از نظر انتشار آثار بدیع و تحلیلی رشد مناسبی نداشته	1>2	unknown	attribution	attribution
و مروری بر آثاری <*> نشان میدهد	که در یکسال گذشته از نظامی و درباره او در ایران منتشر شده ،	1<2	unknown	elaboration	elaboration
نظامی بزرگترین سراینده منظومههای عاشقانه است	که نظامیپژوهی از نظر انتشار آثار بدیع و تحلیلی رشد مناسبی نداشته	1<2	unknown	contrast	contrast
که نظامیپژوهی از نظر انتشار آثار بدیع و تحلیلی رشد مناسبی نداشته	و آثاری <*> تکرار حرفهای گذشتگان است .	1<2	unknown	joint	conjunction
و آثاری <*> تکرار حرفهای گذشتگان است .	که منتشر میشود ،	1<2	unknown	elaboration	elaboration
نظامی بزرگترین سراینده منظومههای عاشقانه است	ضرورت دارد که دانشگاهها و مراکز فرهنگی توجه بیشتری به گنجینه ادبی نظامی بکنند .	1<2	unknown	cause	causal
نظامی بزرگترین سراینده منظومههای عاشقانه است	در سال ۹۷ مجموعا ۵۵ عنوان کتاب با شمارگان ۴۶هزار نسخه از نظامی و درباره نظامی منتشر شده	1<2	unknown	elaboration	elaboration
