unit1_txt	unit2_txt	dir	rel_type	orig_label	label
Relativism ... and the Enlightenment : Response to MARKS et al.	' Relativism ' is a term that has outlived its usefulness in science studies , and now does more harm than good -- especially on the public relations front ,	1>2	unknown	preparation	organization
' Relativism ' is a term that has outlived its usefulness in science studies , and now does more harm than good -- especially on the public relations front ,	but even when we try to explain our research practices .	1<2	unknown	unconditional	condition
The term probably got used in the first place	because science studies people were trying to impress / attack philosophers ,	1>2	unknown	nonvolitional-result	causal
because science studies people were trying to impress / attack philosophers ,	and so they assumed the mantle of what they presumed the opposition to be .	1>2	unknown	nonvolitional-cause	causal
' Relativism ' is a term that has outlived its usefulness in science studies , and now does more harm than good -- especially on the public relations front ,	and so they assumed the mantle of what they presumed the opposition to be .	1<2	unknown	elaboration	elaboration
Unfortunately , when most people think of ' relativism ' ,	they still think of their introductory philosophy class	1>2	unknown	circumstance	temporal
they still think of their introductory philosophy class	However , this view does little to explain how science studies work , and in fact has led to an amazing amount of mischaracterization of what this field is about .	1>2	unknown	concession	concession
they still think of their introductory philosophy class	where the view is presented as ' it is so , if you say so ' .	1<2	unknown	elaboration	elaboration
' Relativism ' is a term that has outlived its usefulness in science studies , and now does more harm than good -- especially on the public relations front ,	However , this view does little to explain how science studies work , and in fact has led to an amazing amount of mischaracterization of what this field is about .	1<2	unknown	elaboration	elaboration
' Relativism ' is a term that has outlived its usefulness in science studies , and now does more harm than good -- especially on the public relations front ,	I agree with MARKS that what he calls ' methodological relativism ' is a perfectly sensible research stance :	1<2	unknown	list	conjunction
Do n't use truth to explain an event	because ' truth ' is determined after the event takes place .	1>2	unknown	antithesis	contrast
I agree with MARKS that what he calls ' methodological relativism ' is a perfectly sensible research stance :	because ' truth ' is determined after the event takes place .	1<2	unknown	elaboration	elaboration
because ' truth ' is determined after the event takes place .	( This is why David Bloor originally called truth - explanations ' teleological ' . )	1<2	unknown	background	frame
Sometimes this is put in terms of adopting the standpoint of the historical agents ,	but this can be a bit misleading	1>2	unknown	concession	concession
because ' truth ' is determined after the event takes place .	but this can be a bit misleading	1<2	unknown	elaboration	elaboration
but this can be a bit misleading	because science studies practitioners rarely take what the agents say at face value	1<2	unknown	volitional-cause	causal
because science studies practitioners rarely take what the agents say at face value	( e.g. scientists are often engaged in truth - talk ) .	1<2	unknown	elaboration	elaboration
In that respect , ' methodological relativism ' does n't imply ' subjectivism ' .	What ' adopting the standpoint of the agents ' seems to involve is a realization that the present can be made into a variety of futures , depending on what the agents do .	1>2	unknown	antithesis	contrast
but this can be a bit misleading	What ' adopting the standpoint of the agents ' seems to involve is a realization that the present can be made into a variety of futures , depending on what the agents do .	1<2	unknown	elaboration	elaboration
What ' adopting the standpoint of the agents ' seems to involve is a realization that the present can be made into a variety of futures , depending on what the agents do .	In philosophical terms , this is closer to a kind of ' antirealism ' than ' relativism '	1<2	unknown	elaboration	elaboration
