model,group_key,group_name,label,support,precision,recall,f1
frozen,global,ALL,adversative-contrast,1,0.0,0.0,0.0
frozen,global,ALL,alternation,83,0.18181818181818182,0.04819277108433735,0.0761904761904762
frozen,global,ALL,attribution,415,0.3302325581395349,0.1710843373493976,0.2253968253968254
frozen,global,ALL,causal,540,0.19753086419753085,0.02962962962962963,0.05152979066022544
frozen,global,ALL,comment,539,0.4166666666666667,0.09276437847866419,0.15174506828528073
frozen,global,ALL,concession,274,0.2,0.014598540145985401,0.027210884353741496
frozen,global,ALL,condition,240,0.3333333333333333,0.03333333333333333,0.06060606060606061
frozen,global,ALL,conjunction,1485,0.23540079796880667,0.43703703703703706,0.305987741631306
frozen,global,ALL,context-background,1,0.0,0.0,0.0
frozen,global,ALL,contrast,483,0.1,0.006211180124223602,0.011695906432748537
frozen,global,ALL,elaboration,2324,0.34749119718309857,0.6794320137693631,0.4598136284216657
frozen,global,ALL,elaboration-additional,1,0.0,0.0,0.0
frozen,global,ALL,elaboration-attribute,2,0.0,0.0,0.0
frozen,global,ALL,expansion.level-of-detail.arg2-as-detail,1,0.0,0.0,0.0
frozen,global,ALL,explanation,390,0.0,0.0,0.0
frozen,global,ALL,frame,498,0.0,0.0,0.0
frozen,global,ALL,mode,255,0.0,0.0,0.0
frozen,global,ALL,organization,317,0.42857142857142855,0.00946372239747634,0.018518518518518517
frozen,global,ALL,purpose,403,0.391304347826087,0.04466501240694789,0.0801781737193764
frozen,global,ALL,purpose-attribute,1,0.0,0.0,0.0
frozen,global,ALL,query,660,0.49901574803149606,0.7681818181818182,0.6050119331742243
frozen,global,ALL,reformulation,147,0.3090909090909091,0.11564625850340136,0.16831683168316833
frozen,global,ALL,temporal,687,0.33664596273291925,0.39446870451237265,0.3632707774798928
finetune,global,ALL,adversative-contrast,1,0.0,0.0,0.0
finetune,global,ALL,alternation,83,0.7341772151898734,0.6987951807228916,0.7160493827160493
finetune,global,ALL,attribution,415,0.8009367681498829,0.8240963855421687,0.8123515439429929
finetune,global,ALL,causal,540,0.44499178981937604,0.5018518518518519,0.47171453437771976
finetune,global,ALL,comment,539,0.5924453280318092,0.5528756957328386,0.5719769673704415
finetune,global,ALL,concession,274,0.5526315789473685,0.6131386861313869,0.5813148788927336
finetune,global,ALL,condition,240,0.7368421052631579,0.7583333333333333,0.7474332648870636
finetune,global,ALL,conjunction,1485,0.6112237998647735,0.6087542087542087,0.6099865047233468
finetune,global,ALL,context-background,1,0.0,0.0,0.0
finetune,global,ALL,contrast,483,0.5637755102040817,0.4575569358178054,0.5051428571428571
finetune,global,ALL,elaboration,2324,0.6843383245649535,0.7276247848537005,0.7053180396246089
finetune,global,ALL,elaboration-additional,1,0.0,0.0,0.0
finetune,global,ALL,elaboration-attribute,2,0.0,0.0,0.0
finetune,global,ALL,expansion.level-of-detail.arg2-as-detail,1,0.0,0.0,0.0
finetune,global,ALL,explanation,390,0.3874538745387454,0.2692307692307692,0.3177004538577912
finetune,global,ALL,frame,498,0.554726368159204,0.44779116465863456,0.4955555555555556
finetune,global,ALL,mode,255,0.7176470588235294,0.7176470588235294,0.7176470588235294
finetune,global,ALL,organization,317,0.6566523605150214,0.48264984227129337,0.5563636363636364
finetune,global,ALL,purpose,403,0.8173076923076923,0.8436724565756824,0.8302808302808303
finetune,global,ALL,purpose-attribute,1,0.0,0.0,0.0
finetune,global,ALL,query,660,0.7836734693877551,0.8727272727272727,0.8258064516129032
finetune,global,ALL,reformulation,147,0.496551724137931,0.4897959183673469,0.4931506849315068
finetune,global,ALL,temporal,687,0.5853658536585366,0.6637554585152838,0.6221009549795361
framework_cond,global,ALL,adversative-contrast,1,0.0,0.0,0.0
framework_cond,global,ALL,alternation,83,0.7236842105263158,0.6626506024096386,0.6918238993710691
framework_cond,global,ALL,attribution,415,0.8027522935779816,0.8433734939759037,0.8225616921269095
framework_cond,global,ALL,causal,540,0.4221879815100154,0.5074074074074074,0.4608915054667788
framework_cond,global,ALL,comment,539,0.602,0.5584415584415584,0.5794032723772858
framework_cond,global,ALL,concession,274,0.5295950155763239,0.6204379562043796,0.5714285714285714
framework_cond,global,ALL,condition,240,0.7521008403361344,0.7458333333333333,0.7489539748953975
framework_cond,global,ALL,conjunction,1485,0.5873944119558154,0.6087542087542087,0.5978835978835979
framework_cond,global,ALL,context-background,1,0.0,0.0,0.0
framework_cond,global,ALL,contrast,483,0.5516372795969773,0.453416149068323,0.49772727272727274
framework_cond,global,ALL,elaboration,2324,0.682591093117409,0.725473321858864,0.7033792240300375
framework_cond,global,ALL,elaboration-additional,1,0.0,0.0,0.0
framework_cond,global,ALL,elaboration-attribute,2,0.0,0.0,0.0
framework_cond,global,ALL,expansion.level-of-detail.arg2-as-detail,1,0.0,0.0,0.0
framework_cond,global,ALL,explanation,390,0.375,0.25384615384615383,0.30275229357798167
framework_cond,global,ALL,frame,498,0.5485436893203883,0.4538152610441767,0.4967032967032967
framework_cond,global,ALL,mode,255,0.7315175097276264,0.7372549019607844,0.734375
framework_cond,global,ALL,organization,317,0.6724137931034483,0.4921135646687697,0.5683060109289617
framework_cond,global,ALL,purpose,403,0.7657657657657657,0.8436724565756824,0.8028335301062574
framework_cond,global,ALL,purpose-attribute,1,0.0,0.0,0.0
framework_cond,global,ALL,query,660,0.7920792079207921,0.8484848484848485,0.8193123628383321
framework_cond,global,ALL,reformulation,147,0.5277777777777778,0.5170068027210885,0.5223367697594502
framework_cond,global,ALL,temporal,687,0.6308623298033282,0.6069868995633187,0.6186943620178041
