model,group_key,group_name,label,support,precision,recall,f1
frozen,corpus,eng.dep.scidtb,attribution,130,0.575,0.17692307692307693,0.27058823529411763
frozen,corpus,eng.dep.scidtb,causal,41,0.0,0.0,0.0
frozen,corpus,eng.dep.scidtb,comment,177,0.5,0.005649717514124294,0.0111731843575419
frozen,corpus,eng.dep.scidtb,concession,21,0.0,0.0,0.0
frozen,corpus,eng.dep.scidtb,condition,33,0.0,0.0,0.0
frozen,corpus,eng.dep.scidtb,conjunction,155,0.2,0.01935483870967742,0.03529411764705882
frozen,corpus,eng.dep.scidtb,contrast,71,0.0,0.0,0.0
frozen,corpus,eng.dep.scidtb,elaboration,790,0.42612064194798005,0.9746835443037974,0.5929919137466307
frozen,corpus,eng.dep.scidtb,explanation,27,0.0,0.0,0.0
frozen,corpus,eng.dep.scidtb,frame,139,0.0,0.0,0.0
frozen,corpus,eng.dep.scidtb,mode,121,0.0,0.0,0.0
frozen,corpus,eng.dep.scidtb,organization,48,0.0,0.0,0.0
frozen,corpus,eng.dep.scidtb,purpose,126,0.26666666666666666,0.06349206349206349,0.10256410256410256
frozen,corpus,eng.dep.scidtb,temporal,23,0.3333333333333333,0.043478260869565216,0.07692307692307693
frozen,corpus,eng.erst.gum,adversative-contrast,1,0.0,0.0,0.0
frozen,corpus,eng.erst.gum,alternation,34,0.17647058823529413,0.08823529411764706,0.11764705882352941
frozen,corpus,eng.erst.gum,attribution,218,0.3108108108108108,0.21100917431192662,0.25136612021857924
frozen,corpus,eng.erst.gum,causal,151,0.13636363636363635,0.019867549668874173,0.03468208092485549
frozen,corpus,eng.erst.gum,comment,133,0.18181818181818182,0.03007518796992481,0.05161290322580645
frozen,corpus,eng.erst.gum,concession,115,0.14285714285714285,0.008695652173913044,0.01639344262295082
frozen,corpus,eng.erst.gum,condition,80,0.16666666666666666,0.025,0.043478260869565216
frozen,corpus,eng.erst.gum,conjunction,532,0.20323488045007032,0.543233082706767,0.29580348004094165
frozen,corpus,eng.erst.gum,context-background,1,0.0,0.0,0.0
frozen,corpus,eng.erst.gum,contrast,153,0.1111111111111111,0.006535947712418301,0.012345679012345678
frozen,corpus,eng.erst.gum,elaboration,782,0.3049808429118774,0.5089514066496164,0.3814087206516531
frozen,corpus,eng.erst.gum,elaboration-additional,1,0.0,0.0,0.0
frozen,corpus,eng.erst.gum,elaboration-attribute,2,0.0,0.0,0.0
frozen,corpus,eng.erst.gum,explanation,231,0.0,0.0,0.0
frozen,corpus,eng.erst.gum,frame,172,0.0,0.0,0.0
frozen,corpus,eng.erst.gum,mode,79,0.0,0.0,0.0
frozen,corpus,eng.erst.gum,organization,231,0.42857142857142855,0.012987012987012988,0.025210084033613446
frozen,corpus,eng.erst.gum,purpose,132,0.6,0.045454545454545456,0.08450704225352113
frozen,corpus,eng.erst.gum,purpose-attribute,1,0.0,0.0,0.0
frozen,corpus,eng.erst.gum,query,63,0.08139534883720931,0.1111111111111111,0.09395973154362416
frozen,corpus,eng.erst.gum,reformulation,71,0.23529411764705882,0.056338028169014086,0.09090909090909091
frozen,corpus,eng.erst.gum,temporal,324,0.3222748815165877,0.41975308641975306,0.3646112600536193
frozen,corpus,eng.pdtb.gum,alternation,16,0.25,0.0625,0.1
frozen,corpus,eng.pdtb.gum,attribution,0,0.0,0.0,0.0
frozen,corpus,eng.pdtb.gum,causal,140,0.13157894736842105,0.03571428571428571,0.056179775280898875
frozen,corpus,eng.pdtb.gum,comment,0,0.0,0.0,0.0
