unit1_txt	unit2_txt	dir	rel_type	orig_label	label
Aesthetic Appreciation and Spanish Art :	In this study we used eye - tracking in the first stage	1>2	implicit	organization-heading	organization
Aesthetic Appreciation and Spanish Art :	Insights from Eye - Tracking	1<2	implicit	elaboration-additional	elaboration
Claire Bailey - Ross claire.bailey-ross@port.ac.uk University of Portsmouth , United Kingdom	In this study we used eye - tracking in the first stage	1>2	implicit	attribution-positive	attribution
Claire Bailey - Ross claire.bailey-ross@port.ac.uk University of Portsmouth , United Kingdom	Andrew Beresford a.m.beresford@durham.ac.uk Durham University , United Kingdom	1<2	implicit	joint-list	conjunction
Claire Bailey - Ross claire.bailey-ross@port.ac.uk University of Portsmouth , United Kingdom	Daniel Smith daniel.smith2@durham.ac.uk Durham University , United Kingdom	1<2	implicit	joint-list	conjunction
Claire Bailey - Ross claire.bailey-ross@port.ac.uk University of Portsmouth , United Kingdom	Claire Warwick c.l.h.warwick@durham.ac.uk Durham University , United Kingdom	1<2	implicit	joint-list	conjunction
How do people look at and experience art ?	In this study we used eye - tracking in the first stage	1>2	implicit	organization-preparation	organization
How do people look at and experience art ?	Which elements of specific artworks do they focus on ?	1<2	implicit	joint-list	conjunction
How do people look at and experience art ?	Do museum labels have an impact on how people look at artworks ?	1<2	implicit	joint-list	conjunction
The viewing experience of art is a complex one ,	Thus , the time <*> and the ways <*> can inform about its relevance , interestingness , and even its aesthetic appeal .	1>2	explicit	explanation-justify	explanation
The viewing experience of art is a complex one ,	involving issues of perception , attention , memory , decision - making , affect , and emotion .	1<2	implicit	elaboration-attribute	elaboration
Thus , the time <*> and the ways <*> can inform about its relevance , interestingness , and even its aesthetic appeal .	In this paper , we report upon the novel insights <*> into the unconscious processes	1>2	implicit	context-background	frame
Thus , the time <*> and the ways <*> can inform about its relevance , interestingness , and even its aesthetic appeal .	it takes	1<2	implicit	elaboration-attribute	elaboration
Thus , the time <*> and the ways <*> can inform about its relevance , interestingness , and even its aesthetic appeal .	of visually exploring an artwork	1<2	implicit	elaboration-attribute	elaboration
This paper describes a collaborative pilot project	In this paper , we report upon the novel insights <*> into the unconscious processes	1>2	implicit	context-background	frame
This paper describes a collaborative pilot project	focusing on a unique collection of 17th Century Zurbarán paintings .	1<2	implicit	elaboration-attribute	elaboration
focusing on a unique collection of 17th Century Zurbarán paintings .	The Jacob cycle at Auckland Castle is the only UK example of a continental collection	1<2	implicit	elaboration-additional	elaboration
The Jacob cycle at Auckland Castle is the only UK example of a continental collection	preserved in situ in purpose - built surroundings .	1<2	implicit	elaboration-attribute	elaboration
While studies of the psychology of art have focused on individual works and distinctions between representative / non-representative topics ,	no work has been completed on the aesthetic appreciation of collections or of devotional themes .	1>2	explicit	adversative-concession	concession
no work has been completed on the aesthetic appreciation of collections or of devotional themes .	In this paper , we report upon the novel insights <*> into the unconscious processes	1>2	implicit	adversative-antithesis	contrast
In this paper , we report upon the novel insights <*> into the unconscious processes	In this study we used eye - tracking in the first stage	1>2	implicit	context-background	frame
In this paper , we report upon the novel insights <*> into the unconscious processes	eye - tracking techniques have provided	1<2	implicit	elaboration-attribute	elaboration
In this paper , we report upon the novel insights <*> into the unconscious processes	of viewing the unique collection of Zurbarán artworks .	1<2	implicit	elaboration-attribute	elaboration
In this paper , we report upon the novel insights <*> into the unconscious processes	The purpose of this pilot study was to assess the effects of different written interpretation on the visual exploration of artworks .	1<2	implicit	purpose-goal	purpose
In this paper , we report upon the novel insights <*> into the unconscious processes	We will discuss the potential implications of these techniques and our understanding of visual behaviours on museum and gallery practice .	1<2	implicit	elaboration-additional	elaboration
In this paper , we report upon the novel insights <*> into the unconscious processes	The project brings together established research strengths in Spanish art history , experimental psychology , digital humanities , and museum studies	1<2	implicit	elaboration-additional	elaboration
The project brings together established research strengths in Spanish art history , experimental psychology , digital humanities , and museum studies	to explore , <*> aesthetic reactions to digital representations of the individual Zurbarán artworks as well as the significance of the collection as a whole .	1<2	implicit	purpose-goal	purpose
to explore , <*> aesthetic reactions to digital representations of the individual Zurbarán artworks as well as the significance of the collection as a whole .	using eye - tracking techniques ,	1<2	implicit	mode-means	mode
Our experience of art develops from the interaction of several cognitive and affective processes ;	a viewer gathers information through a series fixations ,	1>2	implicit	context-background	frame
Our experience of art develops from the interaction of several cognitive and affective processes ;	the beginning of which is a visual scan of the artwork .	1<2	implicit	elaboration-attribute	elaboration
When regarding an artwork ,	a viewer gathers information through a series fixations ,	1>2	explicit	context-circumstance	temporal
a viewer gathers information through a series fixations ,	Previous eye tracking research has highlighted the potential	1>2	implicit	context-background	frame
a viewer gathers information through a series fixations ,	interspersed by rapid movements of the eye	1<2	implicit	elaboration-attribute	elaboration
interspersed by rapid movements of the eye	called saccades .	1<2	implicit	elaboration-attribute	elaboration
a viewer gathers information through a series fixations ,	The direction of saccades is determined by an interaction between the goals of the observer and the physical properties of the different elements of the scene	1<2	implicit	elaboration-additional	elaboration
The direction of saccades is determined by an interaction between the goals of the observer and the physical properties of the different elements of the scene	( e.g. colour , texture , brightness etc ) .	1<2	implicit	elaboration-additional	elaboration
The direction of saccades is determined by an interaction between the goals of the observer and the physical properties of the different elements of the scene	Importantly , studying eye movements offers an insight	1<2	implicit	evaluation-comment	comment
